Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Signature,Action Taken,Severity Level,Network Segment,Log Source,Attack Type
0,5.03,0,0,1,0.2867,0,1,0,0,0,0,0
0,11.74,0,0,1,0.515,0,0,1,0,1,1,0
1,3.06,1,0,1,0.8742,1,1,2,0,2,1,1
1,3.85,0,0,0,0.15789999999999998,1,1,1,1,1,1,0
2,14.62,0,1,0,0.0052,1,1,1,0,2,1,1
1,14.23,0,0,0,0.0576,0,0,0,1,2,0,0
2,3.79,0,1,0,0.3155,0,1,2,2,0,0,1
0,10.22,0,1,1,0.5405,1,0,0,2,0,1,2
2,12.81,1,2,1,0.5634,1,0,1,2,1,0,2
1,2.24,0,0,0,0.16510000000000002,1,1,1,1,0,0,0
0,6.61,0,0,0,0.2491,1,1,2,1,1,0,0
2,2.81,1,0,0,0.8606999999999999,0,1,2,0,1,1,0
0,0.64,1,1,0,0.742,1,0,1,1,1,0,2
0,13.41,0,0,0,0.6214,0,0,2,0,2,1,0
1,9.13,0,1,0,0.7265,1,1,0,2,1,1,0
2,4.25,0,1,0,0.9156,1,1,0,1,2,1,2
2,8.38,1,0,0,0.43829999999999997,1,1,2,2,1,0,1
2,9.69,0,0,0,0.4046,0,0,0,0,1,1,1
2,1.24,1,1,0,0.4475,1,1,2,2,2,1,1
2,4.61,0,0,1,0.1319,0,1,2,2,1,0,1
0,8.45,1,1,0,0.8998999999999999,1,1,1,1,0,1,0
1,4.1,1,1,1,0.8691,0,1,1,0,2,0,0
1,14.25,0,1,0,0.7225,0,0,0,2,0,0,1
1,1.18,0,0,1,0.9627,0,0,0,1,0,1,0
2,13.86,1,1,1,0.6743000000000001,0,0,1,1,2,0,1
1,4.33,1,1,0,0.8986,1,0,0,0,2,1,2
1,5.31,1,2,0,0.8723000000000001,0,0,1,2,2,1,0
2,2.82,1,0,1,0.444,1,0,0,0,0,1,1
0,14.87,1,0,1,0.4542,0,1,1,0,2,1,2
1,5.63,1,1,1,0.257,0,1,2,1,2,1,2
2,13.13,1,0,1,0.6920000000000001,1,1,0,0,2,1,1
1,3.5,1,0,0,0.7706000000000001,1,0,2,1,0,1,1
2,3.73,0,1,1,0.0387,1,0,2,1,1,0,0
0,11.55,1,1,0,0.2593,1,0,1,0,1,1,0
2,5.21,0,2,1,0.6057,1,1,2,2,2,0,1
0,13.46,0,2,1,0.6773,0,0,1,0,0,0,2
1,13.11,1,1,1,0.7515999999999999,0,1,1,1,2,1,1
1,1.17,1,2,0,0.7545999999999999,1,1,0,0,1,0,0
2,12.71,1,0,0,0.4903,1,1,0,1,2,1,0
2,3.08,1,1,0,0.8528,1,0,1,1,0,0,2
2,5.45,0,1,0,0.0644,0,1,2,1,0,1,1
1,5.72,1,1,0,0.2217,0,1,2,0,1,0,1
2,14.74,1,0,1,0.2966,0,1,0,0,0,1,1
1,13.63,0,2,1,0.1075,1,0,1,2,0,0,2
1,4.43,0,1,0,0.4214,1,1,2,2,0,0,0
2,10.26,0,2,0,0.7773,0,1,0,0,0,1,1
2,5.54,1,1,1,0.9782,1,1,1,2,0,1,0
0,6.49,0,0,1,0.8336,1,0,1,2,2,0,2
2,13.78,1,1,1,0.4071,0,0,1,1,2,1,0
